name,winner,contains_dot,contains_dash,num_parts_odd_even,ratio_of_first_to_last,ratio_of_vowles,ratio_of_consonants,starts_with_vowel,ends_with_vowel,num_uniq_letters,number_of_vowel_digraphs,number_of_consant_digraphs,weighted_vowel_count,consonant_digraph_beginning,consonant_digraph_end
Ken Lang,True,False,False,True,0.75,1.0,0.666666666667,False,False,7,False,True,6,False,False
Bernhard Pfahringer,True,False,False,True,0.8,0.666666666667,0.857142857143,False,False,12,False,True,48,False,True
Ronald L. Rivest,True,True,False,False,1.0,1.0,1.0,False,False,14,False,True,28,False,False
Robert Williamson,True,False,False,True,0.6,0.5,0.666666666667,False,False,14,True,True,50,False,False
Stuart Russell,False,False,False,True,0.857142857143,1.0,0.8,False,False,10,True,True,24,True,False
Andrew Y. Ng,False,True,False,False,3.0,0,2.5,False,False,11,False,True,4,True,True
Efim Kinber,False,False,False,True,0.666666666667,0.5,0.75,False,False,10,False,True,17,True,False
David Finton,True,False,False,True,0.833333333333,1.0,0.75,False,False,10,False,True,21,False,False
Mark Staley,True,False,False,True,0.666666666667,0.5,0.75,False,False,10,False,True,17,False,True
Filippo Neri,True,False,False,True,1.75,1.5,2.0,False,True,9,False,True,30,False,False
Jonathan Hodgson,True,False,False,True,1.14285714286,1.5,1.0,False,False,11,False,True,34,False,False
Dennis F. Kibler,True,True,False,False,1.0,1.0,1.0,False,False,12,False,True,30,False,False
Michael J. Donahue,True,True,False,False,1.0,0.75,1.33333333333,False,True,14,True,True,69,False,False
